study_hours,attendance,previous_score,marks
4,76.0,44,27.0
1,62.6,99,73.0
5,71.4,62,46.0
7,85.4,85,78.0
6,70.9,91,80.0
5,77.9,49,33.0
4,67.2,85,68.0
2,71.0,67,45.0
4,69.4,72,56.0
3,72.9,82,58.0
1,62.3,65,37.0
8,86.6,94,88.0
5,73.4,89,75.0
4,77.6,87,70.0
8,78.8,68,62.0
7,91.6,66,57.0
2,71.9,57,32.0
1,61.4,79,53.0
4,64.3,99,82.0
8,95.7,49,41.0
2,68.0,97,75.0
3,78.7,81,63.0
1,56.9,44,17.0
1,59.9,49,24.0
3,72.8,89,69.0
5,77.4,60,47.0
3,72.5,63,43.0
1,61.3,77,48.0
1,59.6,42,17.0
8,86.8,79,75.0
2,69.8,70,54.0
3,69.9,80,59.0
2,70.5,76,56.0
3,68.3,41,20.0
7,77.1,41,34.0
1,62.2,78,54.0
8,84.9,88,83.0
2,60.5,81,59.0
3,71.9,83,63.0
9,89.8,73,72.0
7,81.9,81,70.0
4,73.0,59,41.0
5,79.0,72,54.0
2,70.3,43,21.0
8,86.5,84,83.0
4,80.1,83,64.0
9,96.9,50,51.0
5,81.3,81,66.0
9,92.1,86,83.0
4,71.5,44,26.0
5,82.6,64,49.0
9,84.2,88,85.0
8,87.0,99,95.0
3,68.9,76,56.0
1,66.4,73,50.0
3,70.5,48,23.0
4,72.8,45,26.0
2,70.8,57,30.0
1,72.1,53,28.0
7,82.0,58,48.0
8,81.0,53,46.0
7,82.6,79,73.0
5,82.8,56,45.0
1,63.8,99,76.0
7,72.1,74,71.0
7,87.0,68,60.0
9,85.5,81,77.0
3,73.7,56,36.0
9,93.9,98,96.0
1,60.0,82,62.0
1,59.0,47,22.0
4,70.7,40,21.0
9,91.5,84,79.0
6,81.2,92,82.0
3,70.9,75,55.0
1,63.2,46,22.0
4,76.7,85,70.0
9,83.7,44,37.0
3,73.6,63,42.0
9,85.2,67,64.0
7,80.0,82,72.0
4,74.7,56,42.0
3,70.9,76,56.0
5,72.9,59,43.0
5,71.8,42,24.0
3,72.3,76,55.0
9,93.6,65,64.0
4,72.1,54,34.0
5,76.8,90,78.0
4,71.7,87,71.0
5,76.7,47,33.0
7,82.2,52,46.0
9,90.8,87,86.0
7,79.2,42,34.0
5,76.0,40,26.0
7,92.4,48,44.0
5,81.0,70,53.0
3,68.7,80,61.0
7,83.4,93,84.0
2,64.8,65,40.0
9,100.0,56,53.0
1,66.1,95,67.0
6,81.3,73,58.0
7,76.6,48,41.0
8,85.7,95,89.0
9,94.5,90,85.0
2,68.3,52,33.0
2,61.8,44,20.0
5,79.7,80,66.0
5,77.3,52,38.0
6,80.1,40,25.0
3,68.8,64,43.0
8,91.6,86,79.0
1,67.2,43,16.0
6,79.7,75,67.0
4,71.3,91,80.0
1,70.7,49,26.0
7,80.0,67,57.0
9,91.9,96,91.0
4,76.7,45,29.0
4,69.0,66,48.0
6,78.6,95,84.0
3,72.2,51,33.0
6,80.7,91,82.0
7,83.0,87,81.0
3,74.5,42,24.0
7,80.8,85,81.0
3,66.9,72,54.0
2,67.7,49,25.0
4,74.6,70,53.0
8,88.5,54,48.0
9,85.8,46,40.0
7,85.8,75,66.0
1,63.7,53,29.0
3,66.5,95,73.0
9,92.3,87,89.0
1,58.8,53,27.0
9,87.3,42,40.0
8,87.6,88,83.0
1,63.2,92,69.0
6,80.9,85,72.0
5,81.7,89,77.0
6,76.7,42,32.0
5,74.4,61,49.0
6,80.8,58,44.0
5,76.7,74,57.0
5,73.8,51,34.0
4,70.7,93,76.0
3,64.6,44,22.0
3,69.6,49,30.0
4,74.7,80,67.0
9,89.0,72,71.0
2,72.5,52,29.0
9,86.7,74,74.0
1,63.7,90,67.0
1,64.7,71,46.0
5,73.0,50,34.0
6,85.1,87,76.0
6,73.5,77,64.0
3,72.7,63,46.0
7,91.4,74,68.0
9,87.7,58,58.0
8,88.6,45,41.0
6,73.8,79,64.0
8,85.5,93,84.0
5,76.0,84,70.0
8,78.7,83,77.0
4,68.2,81,60.0
8,84.5,74,65.0
2,69.9,43,21.0
5,82.8,72,60.0
9,88.7,52,48.0
4,70.8,95,77.0
6,81.2,75,63.0
1,70.7,93,68.0
9,94.7,82,81.0
1,59.3,58,29.0
5,71.5,82,66.0
4,74.6,51,36.0
3,63.7,50,29.0
6,78.4,45,32.0
2,67.1,51,31.0
3,73.6,66,45.0
5,82.3,80,65.0
9,88.7,64,57.0
2,62.9,81,58.0
8,94.2,42,38.0
2,70.4,42,22.0
5,72.2,59,48.0
7,75.3,67,59.0
8,78.3,62,58.0
1,66.2,87,62.0
6,81.7,42,30.0
1,64.5,81,56.0
2,68.2,63,40.0
1,66.6,82,59.0
5,77.5,79,65.0
9,88.4,45,43.0
6,76.8,59,48.0
1,62.9,50,24.0
1,60.6,71,51.0
2,68.4,99,81.0
9,92.7,66,62.0
3,68.2,60,43.0
1,68.0,83,63.0
5,86.3,87,73.0
7,83.3,89,76.0
6,82.4,52,43.0
1,62.5,61,34.0
5,76.9,74,57.0
5,83.0,86,72.0
6,76.9,61,47.0
3,71.9,67,52.0
5,70.2,60,49.0
7,87.5,85,77.0
5,74.9,57,41.0
5,74.8,70,56.0
5,75.7,99,89.0
3,72.0,85,65.0
1,57.6,76,49.0
5,70.3,60,48.0
9,88.4,53,47.0
1,65.0,64,37.0
3,70.0,66,48.0
4,79.8,79,61.0
1,71.3,99,77.0
1,62.9,99,75.0
8,95.1,62,57.0
2,63.8,70,45.0
8,80.2,86,82.0
7,77.4,99,90.0
2,67.3,68,42.0
6,82.5,86,74.0
6,74.8,69,60.0
3,71.4,90,73.0
2,62.7,65,40.0
1,74.6,59,32.0
6,82.1,77,67.0
5,77.6,58,46.0
9,93.8,66,65.0
1,69.8,64,42.0
7,83.4,79,69.0
5,69.3,77,62.0
5,82.0,91,75.0
2,71.8,62,40.0
3,72.4,68,43.0
7,88.7,54,42.0
6,77.9,98,84.0
2,58.7,42,15.0
6,75.7,49,39.0
2,65.2,54,26.0
2,72.7,95,73.0
2,61.0,55,34.0
3,76.3,56,34.0
2,62.3,58,37.0
4,74.8,50,34.0
9,86.4,87,85.0
6,73.4,44,31.0
1,69.7,44,18.0
8,87.4,97,92.0
7,77.8,53,44.0
3,68.9,89,72.0
1,59.5,65,40.0
5,86.7,47,31.0
4,68.7,44,25.0
8,83.8,46,44.0
1,60.9,55,27.0
1,60.8,94,66.0
4,70.2,53,34.0
8,90.4,76,70.0
5,72.1,95,81.0
2,63.8,80,56.0
6,87.2,43,30.0
5,82.8,75,60.0
2,63.1,87,64.0
3,62.8,95,74.0
9,96.1,56,52.0
7,79.6,86,84.0
7,79.5,75,66.0
6,79.4,45,32.0
8,92.3,55,47.0
4,72.3,68,51.0
8,87.7,75,67.0
4,75.6,77,57.0
8,82.7,76,71.0
9,83.4,87,86.0
3,65.1,96,77.0
3,70.9,87,72.0
2,65.3,49,24.0
3,77.3,80,60.0
3,64.8,75,55.0
5,76.1,68,54.0
5,84.3,53,39.0
2,58.8,43,19.0
6,74.0,83,68.0
5,71.7,95,83.0
6,76.3,81,72.0
1,60.4,75,49.0
5,75.0,89,74.0
9,99.1,84,86.0
2,70.0,52,26.0
1,67.7,85,60.0
9,88.3,57,54.0
9,88.3,72,73.0
9,84.5,60,61.0
6,83.1,55,45.0
8,85.8,54,57.0
1,60.5,93,68.0
4,76.5,96,72.0
1,65.0,44,17.0
8,92.7,45,37.0
1,64.1,77,54.0
3,67.3,42,22.0
4,71.8,87,73.0
8,87.3,51,47.0
6,80.2,75,63.0
7,83.4,72,63.0
8,84.1,75,68.0
2,63.8,72,52.0
8,81.2,70,64.0
3,68.9,60,38.0
7,85.6,66,60.0
3,70.1,66,45.0
7,91.5,47,39.0
2,60.7,95,75.0
6,71.9,76,67.0
3,61.4,71,48.0
3,66.8,65,44.0
9,86.7,41,37.0
7,89.2,51,41.0
5,65.4,61,47.0
7,83.4,56,45.0
9,91.2,46,43.0
1,63.6,82,54.0
7,80.0,43,32.0
6,78.4,76,64.0
9,93.8,77,74.0
1,67.2,71,50.0
4,68.7,50,33.0
9,87.7,40,36.0
4,67.2,64,45.0
3,67.1,81,58.0
9,87.0,91,85.0
2,61.0,63,41.0
4,66.5,92,78.0
6,83.9,82,63.0
2,70.0,95,76.0
8,87.8,56,51.0
8,82.8,47,36.0
1,69.4,98,74.0
3,73.4,84,65.0
9,89.3,66,65.0
5,82.3,91,79.0
6,74.3,57,46.0
4,76.2,66,47.0
2,56.6,61,42.0
8,85.9,55,46.0
6,86.4,41,34.0
5,72.4,44,27.0
9,96.8,57,52.0
1,64.4,42,17.0
5,75.8,66,53.0
6,75.0,93,84.0
5,74.5,56,39.0
6,74.2,55,44.0
6,78.4,45,36.0
7,82.1,90,81.0
4,70.6,46,30.0
8,91.1,89,80.0
7,77.2,53,41.0
9,87.6,77,77.0
7,81.9,79,69.0
3,67.8,54,34.0
3,64.3,86,64.0
8,88.7,86,78.0
5,82.6,87,74.0
4,67.7,72,52.0
8,92.9,82,76.0
6,85.4,66,53.0
2,66.7,68,46.0
4,71.3,96,77.0
4,71.5,76,59.0
6,82.2,44,35.0
6,83.1,68,61.0
1,72.7,71,46.0
8,90.3,99,97.0
6,82.9,92,86.0
3,67.3,45,24.0
9,93.8,41,37.0
2,71.4,45,18.0
8,88.7,85,84.0
3,70.4,82,59.0
5,83.8,43,29.0
6,83.3,95,84.0
6,84.7,68,60.0
4,73.5,98,78.0
3,74.6,64,46.0
4,68.1,48,31.0
1,57.3,95,68.0
4,76.5,42,25.0
1,61.4,65,37.0
1,66.9,87,62.0
6,83.3,82,69.0
5,74.3,66,50.0
4,75.0,75,55.0
3,73.5,71,54.0
1,63.3,40,12.0
6,88.2,96,88.0
2,64.2,92,69.0
8,87.5,93,88.0
5,79.2,55,41.0
7,83.4,90,83.0
2,68.5,87,62.0
8,86.7,50,45.0
2,63.6,65,42.0
4,74.5,79,65.0
1,59.5,94,73.0
5,84.8,40,23.0
9,87.1,65,61.0
1,61.5,67,41.0
9,87.3,92,85.0
8,85.1,97,93.0
6,78.9,48,35.0
7,80.1,99,92.0
3,68.6,98,79.0
1,62.5,83,57.0
5,74.8,61,49.0
2,67.4,47,28.0
5,79.0,97,85.0
8,82.5,88,82.0
9,97.7,81,80.0
2,65.6,66,41.0
3,71.1,78,57.0
3,64.8,58,41.0
1,72.7,64,43.0
8,84.5,77,73.0
6,80.3,60,46.0
8,82.8,63,61.0
9,89.1,63,61.0
5,77.7,99,87.0
3,65.2,99,78.0
5,80.4,58,43.0
5,77.9,89,75.0
5,83.7,86,72.0
3,79.7,41,18.0
4,71.7,53,36.0
9,93.7,92,92.0
9,94.9,71,71.0
2,70.8,81,58.0
8,83.4,71,69.0
8,83.7,67,58.0
7,80.8,87,74.0
8,81.0,78,72.0
3,67.8,79,61.0
6,77.5,81,74.0
1,60.5,86,60.0
7,87.1,79,70.0
1,66.8,52,27.0
9,99.7,51,49.0
1,60.9,47,17.0
1,70.2,54,34.0
7,82.1,65,51.0
2,71.5,51,27.0
5,77.0,82,67.0
8,83.9,90,84.0
8,86.1,85,81.0
3,73.3,66,45.0
7,86.5,57,50.0
3,70.3,84,67.0
6,92.4,75,67.0
6,78.6,88,77.0
3,70.1,90,70.0
7,77.6,66,59.0
3,72.2,48,27.0
8,86.4,94,88.0
4,79.7,78,60.0
1,67.0,40,14.0
4,68.8,46,27.0
7,76.9,65,54.0
4,70.9,46,32.0
6,75.6,91,79.0
9,86.9,46,44.0
1,58.9,47,20.0
5,73.8,55,42.0
7,93.0,42,33.0
1,71.5,84,58.0
4,72.1,49,31.0
6,80.5,89,75.0
2,62.5,46,22.0
5,72.7,60,46.0
1,69.2,92,68.0
6,85.5,76,66.0
6,81.1,70,60.0
4,71.5,62,44.0
8,80.9,96,90.0
4,66.1,66,47.0
8,84.9,95,88.0
8,97.1,61,56.0
5,80.1,78,66.0
4,76.8,96,78.0
2,61.6,66,43.0
3,69.7,93,72.0
3,80.4,88,69.0
4,67.9,43,24.0
4,76.9,63,47.0
5,83.7,62,45.0
4,72.6,87,72.0
8,89.4,58,51.0
6,82.3,81,73.0
6,76.1,42,28.0
8,92.3,66,56.0
7,89.4,42,29.0
8,87.5,67,60.0
2,68.7,56,28.0
9,96.0,70,66.0
1,65.2,49,21.0
8,90.3,88,84.0
4,76.9,61,42.0
4,75.6,69,51.0
5,78.8,88,74.0
8,93.1,60,50.0
5,72.5,75,62.0
8,82.8,92,90.0
1,62.7,62,32.0
9,89.5,77,71.0
6,82.2,51,37.0
3,66.7,64,42.0
8,81.8,93,85.0
9,89.8,96,96.0
6,78.3,59,51.0
7,89.2,88,82.0
1,70.4,88,64.0
5,76.3,81,67.0
5,73.4,46,32.0
4,74.6,68,50.0
6,82.0,87,73.0
7,84.7,68,62.0
9,95.8,52,48.0
1,63.5,42,20.0
6,84.4,41,33.0
7,81.4,55,43.0
3,75.6,69,49.0
8,87.1,77,70.0
5,68.6,45,28.0
9,85.4,84,82.0
5,72.9,46,29.0
9,98.6,44,42.0
4,73.8,95,79.0
9,86.7,46,41.0
5,81.7,73,61.0
9,97.5,71,69.0
3,68.1,88,68.0
4,72.2,52,38.0
9,97.3,69,67.0
6,80.7,64,54.0
2,62.8,60,39.0
7,83.0,99,93.0
2,60.2,98,76.0
2,63.0,60,39.0
1,60.5,67,38.0
3,69.1,87,69.0
6,80.0,97,88.0
8,84.5,59,54.0
9,87.6,73,68.0
7,89.2,44,33.0
4,69.1,57,40.0
6,85.0,99,87.0
5,74.0,78,64.0
8,77.1,82,70.0
1,57.4,96,70.0
1,64.9,96,72.0
6,81.3,50,38.0
2,66.5,93,71.0
5,78.3,56,40.0
1,61.2,87,58.0
7,92.7,84,77.0
1,67.0,61,38.0
4,80.6,76,60.0
9,87.1,59,57.0
1,60.8,87,63.0
4,74.5,99,82.0
6,86.3,93,84.0
6,83.6,93,84.0
8,87.9,87,77.0
1,61.1,87,61.0
7,83.8,85,73.0
1,60.3,45,15.0
7,84.9,73,64.0
3,70.7,53,33.0
8,93.7,87,78.0
3,71.5,62,43.0
1,64.0,59,34.0
8,83.2,52,48.0
3,71.8,86,66.0
2,69.7,83,60.0
1,58.6,80,53.0
3,72.6,71,51.0
2,64.9,65,43.0
2,65.9,89,68.0
6,77.7,92,80.0
1,59.1,53,26.0
2,71.7,91,70.0
6,85.1,96,85.0
3,71.8,75,57.0
4,72.1,47,30.0
1,61.5,79,56.0
8,81.7,61,53.0
7,78.2,61,52.0
7,90.6,55,47.0
3,75.4,66,48.0
3,65.4,95,78.0
2,68.4,99,79.0
1,59.0,99,75.0
7,73.3,49,40.0
7,85.4,64,59.0
2,69.6,70,49.0
7,78.7,60,48.0
8,83.0,66,60.0
1,64.8,56,29.0
9,92.5,72,68.0
7,80.0,70,63.0
3,68.9,89,71.0
8,88.1,81,76.0
7,91.1,65,57.0
8,84.1,60,54.0
6,80.8,75,61.0
9,96.0,40,34.0
5,81.7,43,32.0
3,72.1,43,23.0
3,66.9,65,44.0
1,71.5,43,18.0
8,84.5,88,82.0
2,65.6,48,18.0
3,74.5,69,52.0
8,97.9,90,88.0
8,87.4,84,78.0
4,80.2,43,26.0
4,70.0,44,26.0
5,70.8,84,74.0
6,76.9,62,52.0
5,79.6,55,40.0
7,88.5,61,54.0
2,71.0,76,51.0
7,81.1,47,35.0
7,84.9,87,79.0
1,73.6,72,45.0
7,85.7,94,81.0
5,76.3,99,87.0
3,66.2,77,56.0
3,74.2,82,65.0
4,76.8,55,38.0
2,64.2,44,17.0
2,65.3,55,35.0
1,60.0,46,20.0
5,75.1,90,75.0
4,74.7,40,26.0
2,61.3,48,23.0
3,74.2,57,38.0
7,81.3,84,78.0
7,83.9,97,91.0
4,75.7,86,67.0
5,83.7,42,31.0
5,78.9,63,49.0
6,81.4,67,57.0
9,92.7,49,45.0
2,68.2,48,22.0
5,71.1,52,35.0
3,67.7,87,65.0
4,73.6,74,53.0
6,74.7,93,79.0
8,96.1,62,57.0
1,64.7,86,58.0
8,85.3,56,50.0
7,81.7,85,75.0
1,64.3,46,17.0
2,62.4,91,70.0
3,65.6,55,36.0
1,63.0,92,61.0
9,87.1,79,78.0
8,89.6,75,71.0
2,70.0,59,36.0
9,85.0,63,63.0
7,82.9,86,78.0
9,79.8,44,39.0
6,82.9,84,70.0
6,78.7,45,34.0
4,76.1,67,49.0
2,61.6,98,71.0
7,83.3,44,34.0
5,78.5,88,77.0
6,74.7,78,67.0
2,72.7,77,52.0
5,71.5,41,25.0
4,76.4,82,68.0
9,88.6,78,76.0
6,78.9,93,85.0
2,72.4,60,40.0
1,64.6,79,56.0
5,72.6,76,62.0
9,92.6,98,99.0
6,82.8,57,46.0
7,85.3,93,86.0
5,74.0,87,73.0
6,78.4,85,74.0
5,71.8,51,37.0
9,95.7,56,50.0
6,86.1,76,65.0
8,90.7,85,79.0
2,73.6,77,53.0
9,92.4,54,55.0
5,77.6,46,31.0
7,83.3,53,47.0
1,59.2,89,63.0
5,81.6,40,27.0
2,73.8,77,53.0
6,84.0,42,33.0
1,65.0,76,56.0
3,70.3,83,65.0
5,71.9,70,55.0
4,66.8,82,67.0
3,73.3,52,32.0
5,82.7,87,73.0
8,85.8,57,45.0
4,66.3,56,43.0
1,67.9,56,32.0
7,82.4,50,42.0
8,87.2,59,55.0
3,66.3,49,28.0
6,80.2,68,58.0
2,68.5,87,67.0
7,82.0,73,66.0
8,88.5,56,46.0
6,76.7,93,79.0
6,85.7,91,83.0
5,74.3,81,63.0
8,89.8,52,45.0
1,67.7,83,63.0
4,70.5,86,70.0
4,82.2,78,58.0
3,67.0,66,50.0
3,70.0,93,77.0
4,77.0,92,75.0
1,69.4,65,40.0
2,68.6,67,43.0
9,88.0,52,47.0
2,60.5,51,22.0
5,84.3,83,71.0
9,88.2,67,63.0
9,91.5,41,37.0
8,83.8,76,72.0
1,62.6,96,73.0
1,59.3,96,72.0
9,91.5,73,68.0
8,91.8,62,59.0
9,97.6,97,97.0
7,89.7,91,83.0
3,64.3,84,65.0
3,73.4,68,47.0
2,67.5,74,51.0
5,73.5,50,32.0
3,75.7,87,63.0
6,82.7,72,60.0
2,68.6,90,70.0
3,74.7,50,32.0
5,76.8,48,32.0
1,65.4,53,29.0
1,67.8,48,21.0
9,88.4,78,74.0
7,82.8,87,81.0
1,57.3,42,11.0
8,93.1,68,65.0
3,62.5,58,37.0
8,87.6,75,75.0
5,75.2,71,61.0
1,65.3,46,17.0
7,81.0,94,87.0
5,84.4,67,52.0
6,79.1,83,71.0
6,82.9,57,46.0
8,98.4,99,99.0
9,94.6,44,40.0
2,60.7,62,42.0
9,79.7,94,91.0
9,97.4,61,57.0
7,78.6,65,58.0
